"Front","Back","Tags"
"keine Hilfe brauchen","to not need help","needs-practice Vienna"
"einen Moment","a moment","needs-practice Vienna"
"mit jemandem sprechen","to speak with someone","needs-practice Vienna"
"zu Fuß gehen","to go on foot / to walk","needs-practice Vienna"
"Wie weit ist es von hier?","How far is it from here?","needs-practice Vienna"
"mit der U-Bahn fahren","to take the subway","needs-practice Vienna"
"die Fahrkarte / das Ticket","the ticket","needs-practice Vienna"
"zum Naschmarkt","to the Naschmarkt","needs-practice Vienna"
"mit der U-Bahn","by subway / by underground","needs-practice Vienna"
"am Naschmarkt","at the Naschmarkt","needs-practice Vienna"
"zum (zu dem)","to the (direction)","needs-practice Vienna"
"die ägyptische Sammlung","the Egyptian collection","needs-practice Vienna"
"der ägyptische Teil","the Egyptian section/part","needs-practice Vienna"
"Das macht insgesamt ...","That comes to ... in total","needs-practice Vienna"
"ist es möglich, … zu …","is it possible to …","needs-practice Vienna"
"die Nächte","the nights (plural of die Nacht)","needs-practice Vienna"
"nachdenken (ich denke darüber nach)","to think about / to consider","needs-practice Vienna"
"das Sprudelwasser / mit Sprudel","sparkling water","needs-practice Vienna"
"Bis zum nächsten Mal","until next time","needs-practice Vienna"
"zahlen","to pay","needs-practice Vienna"
"Was empfehlen Sie / empfiehlst du heute?","What do you recommend today?","needs-practice Vienna"
"kurz","briefly / for a short moment","needs-practice Vienna"
"Hier bitte / Hier ist …","Here you go / Here is …","needs-practice Vienna"
"Rechnung","bill / invoice","needs-practice Vienna"
"noch eine Frage","one more question","needs-practice Vienna"
"anfangen mit (+ Dativ)","to start with / to begin with","needs-practice Vienna"
"die Handynummer","mobile phone number","needs-practice Vienna"
"kennenlernen","to get to know, to explore","needs-practice Vienna"
"etwas kaufen","to buy something","needs-practice Vienna"
"für den Frühling","for spring","needs-practice Vienna"
"erstens / zweitens","firstly / secondly","needs-practice Vienna"
"mitnehmen","to take along / to take with you","needs-practice Vienna"
"das Frühstück","breakfast","needs-practice Vienna"
"können — can / to be able to","ich → kann
du → kannst
er/sie/es → kann
wir → können
ihr → könnt
sie/Sie → können","verb conjugation Vienna"
"möchten — would like to","ich → möchte
du → möchtest
er/sie/es → möchte
wir → möchten
ihr → möchtet
sie/Sie → möchten","verb conjugation Vienna"
"haben — to have","ich → habe
du → hast
er/sie/es → hat
wir → haben
ihr → habt
sie/Sie → haben","verb conjugation Vienna"
"sein — to be","ich → bin
du → bist
er/sie/es → ist
wir → sind
ihr → seid
sie/Sie → sind","verb conjugation Vienna"
"nehmen — to take","ich → nehme
du → nimmst
er/sie/es → nimmt
wir → nehmen
ihr → nehmt
sie/Sie → nehmen","verb conjugation Vienna"
"fahren — to drive / to travel","ich → fahre
du → fährst
er/sie/es → fährt
wir → fahren
ihr → fahrt
sie/Sie → fahren","verb conjugation Vienna"
"gehen — to go / to walk","ich → gehe
du → gehst
er/sie/es → geht
wir → gehen
ihr → geht
sie/Sie → gehen","verb conjugation Vienna"
"empfehlen — to recommend","ich → empfehle
du → empfiehlst
er/sie/es → empfiehlt
wir → empfehlen
ihr → empfehlt
sie/Sie → empfehlen","verb conjugation Vienna"
"brauchen — to need","ich → brauche
du → brauchst
er/sie/es → braucht
wir → brauchen
ihr → braucht
sie/Sie → brauchen","verb conjugation Vienna"
"zahlen — to pay","ich → zahle
du → zahlst
er/sie/es → zahlt
wir → zahlen
ihr → zahlt
sie/Sie → zahlen","verb conjugation Vienna"
"arbeiten — to work","ich → arbeite
du → arbeitest
er/sie/es → arbeitet
wir → arbeiten
ihr → arbeitet
sie/Sie → arbeiten","verb conjugation Vienna"
"wissen — to know (a fact)","ich → weiß
du → weißt
er/sie/es → weiß
wir → wissen
ihr → wisst
sie/Sie → wissen","verb conjugation Vienna"
"kommen — to come","ich → komme
du → kommst
er/sie/es → kommt
wir → kommen
ihr → kommt
sie/Sie → kommen","verb conjugation Vienna"
"bleiben — to stay / to remain","ich → bleibe
du → bleibst
er/sie/es → bleibt
wir → bleiben
ihr → bleibt
sie/Sie → bleiben","verb conjugation Vienna"
"sprechen — to speak","ich → spreche
du → sprichst
er/sie/es → spricht
wir → sprechen
ihr → sprecht
sie/Sie → sprechen","verb conjugation Vienna"
"verstehen — to understand","ich → verstehe
du → verstehst
er/sie/es → versteht
wir → verstehen
ihr → versteht
sie/Sie → verstehen","verb conjugation Vienna"
"Can you recommend a good coffee house in Vienna?","Können Sie mir ein gutes Kaffeehaus in Wien empfehlen?","phrase können Vienna"
"I can take the U-Bahn to the city center.","Ich kann mit der U-Bahn ins Zentrum fahren.","phrase können Vienna"
"Can we get a table by the window?","Können wir einen Tisch am Fenster bekommen?","phrase können Vienna"
"You can try the Sachertorte here, it's delicious.","Du kannst hier die Sachertorte probieren, sie ist köstlich.","phrase können Vienna"
"Can I help you with your luggage at the hotel?","Kann ich dir mit deinem Gepäck im Hotel helfen?","phrase können Vienna"
"We can walk along the Danube if you'd like.","Wir können an der Donau spazieren gehen, wenn du möchtest.","phrase können Vienna"
"I would like a Melange, please.","Ich möchte einen Melange, bitte.","phrase möchten Vienna"
"We would like to sit outside.","Wir möchten gerne draußen sitzen.","phrase möchten Vienna"
"I would like to check in.","Ich möchte gerne einchecken.","phrase möchten Vienna"
"Would you like to order now?","Möchten Sie jetzt bestellen?","phrase möchten Vienna"
"I would like a quiet room.","Ich möchte lieber ein ruhiges Zimmer.","phrase möchten Vienna"
"I would like to pay.","Ich möchte gerne zahlen.","phrase möchten Vienna"
"I have a reservation for two.","Ich habe eine Reservierung für zwei Personen.","phrase haben Vienna"
"Do you have a table near the window?","Haben Sie einen Tisch beim Fenster?","phrase haben Vienna"
"We have one more night.","Wir haben noch eine Nacht.","phrase haben Vienna"
"Do you have something for a headache?","Haben Sie etwas gegen Kopfschmerzen?","phrase haben Vienna"
"I have a question about the bill.","Ich habe eine Frage zur Rechnung.","phrase haben Vienna"
"She has already ordered.","Sie hat schon bestellt.","phrase haben Vienna"
"Is this table free?","Ist dieser Tisch frei?","phrase sein Vienna"
"We are from Chicago.","Wir sind aus Chicago.","phrase sein Vienna"
"Where is the nearest U-Bahn station?","Wo ist die nächste U-Bahn-Station?","phrase sein Vienna"
"The room is too loud.","Das Zimmer ist zu laut.","phrase sein Vienna"
"It is our first time in Vienna.","Es ist unser erstes Mal in Wien.","phrase sein Vienna"
"Are you ready to order?","Sind Sie bereit zu bestellen?","phrase sein Vienna"
"We're taking the subway.","Wir nehmen die U-Bahn.","phrase nehmen Vienna"
"I'll take the room.","Ich nehme das Zimmer.","phrase nehmen Vienna"
"Please have a seat.","Nehmen Sie Platz, bitte.","phrase nehmen Vienna"
"Can we take a taxi?","Können wir ein Taxi nehmen?","phrase nehmen Vienna"
"I'll have a small coffee.","Ich nehme einen kleinen Brauner.","phrase nehmen Vienna"
"Which line should we take?","Welche Linie sollen wir nehmen?","phrase nehmen Vienna"
"Which line goes to the Westbahnhof?","Welche Linie fährt zum Westbahnhof?","phrase fahren Vienna"
"Does this tram go to the Ringstraße?","Fährt diese Straßenbahn zur Ringstraße?","phrase fahren Vienna"
"We are traveling to Salzburg tomorrow.","Wir fahren morgen nach Salzburg.","phrase fahren Vienna"
"How long does the journey take?","Wie lange fährt man dorthin?","phrase fahren Vienna"
"I would prefer to go by bus.","Ich fahre lieber mit dem Bus.","phrase fahren Vienna"
"Does this train stop at the Naschmarkt?","Hält dieser Zug am Naschmarkt?","phrase fahren Vienna"
"How do I get to the Stephansdom?","Wie komme ich zum Stephansdom?","phrase gehen Vienna"
"Shall we go to the Prater?","Gehen wir in den Prater?","phrase gehen Vienna"
"Can you walk from here?","Kann man von hier zu Fuß gehen?","phrase gehen Vienna"
"I would prefer to walk.","Ich gehe lieber zu Fuß.","phrase gehen Vienna"
"Everything is going well, thank you.","Es geht mir gut, danke.","phrase gehen Vienna"
"How are you?","Wie geht es Ihnen?","phrase gehen Vienna"
"What do you recommend today?","Was empfehlen Sie heute?","phrase empfehlen Vienna"
"Can you recommend a good restaurant nearby?","Können Sie ein gutes Restaurant in der Nähe empfehlen?","phrase empfehlen Vienna"
"What do you personally recommend?","Was empfehlen Sie persönlich?","phrase empfehlen Vienna"
"I would recommend the Tafelspitz.","Ich empfehle den Tafelspitz.","phrase empfehlen Vienna"
"Would you recommend the Grüner Veltliner?","Würden Sie den Grüner Veltliner empfehlen?","phrase empfehlen Vienna"
"What do you recommend for a Saturday morning?","Was empfehlen Sie für einen Samstagmorgen?","phrase empfehlen Vienna"
"I need a map of the city.","Ich brauche einen Stadtplan.","phrase brauchen Vienna"
"Do I need a ticket for this?","Brauche ich dafür eine Fahrkarte?","phrase brauchen Vienna"
"We need a table for three.","Wir brauchen einen Tisch für drei Personen.","phrase brauchen Vienna"
"Do you need anything else?","Brauchen Sie noch etwas?","phrase brauchen Vienna"
"How long does the tour take?","Wie lange braucht man für die Führung?","phrase brauchen Vienna"
"I need to make a phone call.","Ich brauche kurz das Telefon.","phrase brauchen Vienna"
"I'll pay for the coffee.","Ich zahle für den Kaffee.","phrase zahlen Vienna"
"Can you pay the hotel bill, please?","Kannst du die Hotelrechnung zahlen, bitte?","phrase zahlen Vienna"
"How much do I have to pay for the tram ticket?","Wie viel muss ich für die Straßenbahnkarte zahlen?","phrase zahlen Vienna"
"Do you pay with card here in Vienna?","Zahlt man hier in Wien mit Karte?","phrase zahlen Vienna"
"Shall I pay now or later?","Soll ich jetzt oder später zahlen?","phrase zahlen Vienna"
"We always pay cash at the Würstelstand.","Wir zahlen immer bar am Würstelstand.","phrase zahlen Vienna"
"I work in project management.","Ich arbeite im Projektmanagement.","phrase arbeiten Vienna"
"Do you work near here?","Arbeiten Sie hier in der Nähe?","phrase arbeiten Vienna"
"We are working in Vienna for a week.","Wir arbeiten eine Woche in Wien.","phrase arbeiten Vienna"
"The reception is staffed around the clock.","Die Rezeption arbeitet rund um die Uhr.","phrase arbeiten Vienna"
"I work in technology and product.","Ich arbeite in Technologie und Produktentwicklung.","phrase arbeiten Vienna"
"The system is not working.","Das System arbeitet nicht.","phrase arbeiten Vienna"
"Do you know where the nearest U-Bahn station is?","Wissen Sie, wo die nächste U-Bahn-Station ist?","phrase wissen Vienna"
"I don't know if the museum is open on Sundays.","Ich weiß nicht, ob das Museum sonntags geöffnet ist.","phrase wissen Vienna"
"Do you know a good Heuriger in Grinzing?","Wissen Sie einen guten Heurigen in Grinzing?","phrase wissen Vienna"
"We know that the Naschmarkt closes early on weekdays.","Wir wissen, dass der Naschmarkt wochentags früh schließt.","phrase wissen Vienna"
"I know — the Ringstraße is the fastest way on foot.","Ich weiß — die Ringstraße ist zu Fuß am schnellsten.","phrase wissen Vienna"
"Do you know when the next tram arrives?","Wissen Sie, wann die nächste Straßenbahn kommt?","phrase wissen Vienna"
"I come from Chicago — this is my first time in Vienna.","Ich komme aus Chicago — ich bin zum ersten Mal in Wien.","phrase kommen Vienna"
"When does the next U4 come?","Wann kommt die nächste U4?","phrase kommen Vienna"
"Does the waiter come soon? We've been waiting a while.","Kommt der Kellner bald? Wir warten schon eine Weile.","phrase kommen Vienna"
"Where do you come from originally?","Woher kommen Sie ursprünglich?","phrase kommen Vienna"
"The breakfast comes with the room price.","Das Frühstück kommt mit dem Zimmerpreis.","phrase kommen Vienna"
"We come here every Saturday morning.","Wir kommen jeden Samstagmorgen hierher.","phrase kommen Vienna"
"I'm staying in Vienna for five days.","Ich bleibe fünf Tage in Wien.","phrase bleiben Vienna"
"Can we stay a little longer? The atmosphere is wonderful.","Können wir noch etwas bleiben? Die Atmosphäre ist wunderbar.","phrase bleiben Vienna"
"Stay on this street until you reach the cathedral.","Bleiben Sie auf dieser Straße, bis Sie zum Dom kommen.","phrase bleiben Vienna"
"He stays at the Sacher — classic choice.","Er bleibt im Sacher — klassische Wahl.","phrase bleiben Vienna"
"We're staying in the 7th district, near Neubau.","Wir bleiben im siebten Bezirk, nahe dem Neubau.","phrase bleiben Vienna"
"The café stays open until midnight.","Das Café bleibt bis Mitternacht geöffnet.","phrase bleiben Vienna"
"Do you speak English?","Sprechen Sie Englisch?","phrase sprechen Vienna"
"I'm learning German — please speak slowly.","Ich lerne Deutsch — bitte sprechen Sie langsam.","phrase sprechen Vienna"
"She speaks beautiful Viennese dialect.","Sie spricht wunderschönen Wiener Dialekt.","phrase sprechen Vienna"
"Can I speak to the manager?","Kann ich mit dem Manager sprechen?","phrase sprechen Vienna"
"We speak a little German but prefer simple sentences.","Wir sprechen ein bisschen Deutsch, aber bevorzugen einfache Sätze.","phrase sprechen Vienna"
"He speaks so fast I can barely understand him.","Er spricht so schnell, dass ich ihn kaum verstehe.","phrase sprechen Vienna"
"I don't understand — could you repeat that?","Ich verstehe nicht — könnten Sie das wiederholen?","phrase verstehen Vienna"
"Do you understand the menu? I can help translate.","Verstehen Sie die Speisekarte? Ich kann helfen zu übersetzen.","phrase verstehen Vienna"
"I understand a little Austrian German but speaking is harder.","Ich verstehe ein bisschen Österreichisch, aber Sprechen ist schwerer.","phrase verstehen Vienna"
"He understands English but prefers to answer in German.","Er versteht Englisch, antwortet aber lieber auf Deutsch.","phrase verstehen Vienna"
"Sorry, I didn't understand the price — could you write it down?","Entschuldigung, ich habe den Preis nicht verstanden — könnten Sie ihn aufschreiben?","phrase verstehen Vienna"
"We understand — the kitchen closes at ten.","Wir verstehen — die Küche schließt um zehn.","phrase verstehen Vienna"
"der Schlüssel","key","noun Vienna"
"das Zimmer","room","noun Vienna"
"die Rechnung","bill","noun Vienna"
"das Gepäck","luggage","noun Vienna"
"die U-Bahn","subway","noun Vienna"
"der Bus","bus","noun Vienna"
"das Museum","museum","noun Vienna"
"der Kaffee","coffee","noun Vienna"
"die Nacht","night","noun Vienna"
"die Nummer","number","noun Vienna"
"I'll have that explained to me.","Ich lasse mir das erklären.","needs-practice Vienna phrase lassen"
"Do we take line 1 or line 2?","Nehmen wir die Linie 1 oder die 2?","needs-practice Vienna phrase nehmen"
"Which line should we take to the Naschmarkt?","Welche Linie sollen wir zum Naschmarkt nehmen?","needs-practice Vienna phrase nehmen"
"Where can I pay here?","Wo kann ich hier #012?","needs-practice Vienna phrase #012"
"I'd like to pay.","Ich möchte #012.","needs-practice Vienna phrase #012"
